Time,FP1,FP2,C3,C4,O1,O2,SPR1,SPR2,ECG1,ECG2
1.145,145.555,-46.936,46.202,-21.057,37.736,44.542,-158.425,-314.759,5.447,-455.604
1.150,116.554,-34.480,-18.123,30.600,-32.720,106.595,-157.094,-281.925,54.003,-327.366
1.155,51.021,-7.048,-34.134,49.953,-47.986,164.636,-155.152,-248.797,85.171,-138.847
1.160,-76.231,-27.482,-51.610,35.710,70.792,209.606,-155.250,-258.216,82.765,-113.429
1.165,-114.084,-137.140,16.318,4.453,182.354,178.039,-154.861,-284.442,40.027,-157.590
1.170,-74.135,-152.387,117.818,-8.288,274.626,95.618,-153.121,-294.449,11.631,-107.697
1.175,-33.645,-206.925,198.780,9.552,267.275,38.301,-153.449,-250.187,8.296,-7.193
1.180,-6.921,-239.474,232.157,-67.459,297.367,6.959,-151.224,-247.188,24.116,-33.541
1.185,-16.123,-239.346,129.014,-96.706,218.728,-5.401,-150.119,-252.339,25.245,-81.108
1.190,-29.554,-238.655,57.297,-131.670,91.086,5.226,-149.144,-291.282,12.388,-66.811
1.195,-29.380,-260.074,78.394,-125.289,57.538,-5.391,-147.387,-252.712,11.191,-46.333
1.200,-44.400,-291.135,153.899,-105.791,-83.081,-71.247,-147.204,-224.978,21.285,-42.211
1.205,-33.214,-204.876,235.799,-57.298,-73.983,-104.526,-145.014,-227.987,21.628,-30.889
1.210,33.591,-185.161,281.379,-63.240,78.891,-72.958,-145.162,-282.379,35.775,-39.330
1.215,89.542,-226.873,229.603,-25.387,182.843,-30.781,-142.467,-260.088,10.936,-14.576
1.220,56.978,-162.245,215.436,39.377,19.504,29.501,-140.678,-217.543,14.875,-35.369
1.225,69.968,-133.894,256.724,87.007,-61.865,74.584,-139.118,-211.977,1.983,-33.860
1.230,13.174,-104.345,259.000,94.134,-74.034,122.238,-136.940,-255.664,11.526,-21.312
1.235,-65.859,-35.597,300.095,102.978,-51.347,164.058,-135.538,-266.228,9.159,-9.338
1.240,-8.902,-29.123,285.349,96.070,-127.762,107.753,-134.522,-216.541,-0.955,8.839
1.245,65.319,-27.484,257.348,139.358,-165.865,142.030,-133.738,-196.342,6.123,4.797
1.250,49.798,-100.713,247.401,246.195,-177.936,140.281,-131.917,-159.685,16.932,24.652
1.255,39.000,-167.505,330.857,336.936,-227.329,139.046,-132.516,-216.530,12.792,29.615
1.260,110.033,-112.507,364.278,261.196,-264.380,57.502,-130.369,-263.195,28.859,56.991
1.265,83.334,-126.672,288.266,134.100,-281.026,-12.202,-128.257,-205.467,14.815,54.995
1.270,-58.806,-161.767,203.348,76.849,-316.163,-78.374,-127.212,-201.995,20.949,86.384
1.275,-95.984,-110.033,182.185,39.312,-334.479,-95.771,-125.248,-206.194,13.504,71.125
1.280,-181.143,-165.264,186.490,52.782,-193.702,-45.119,-125.127,-285.517,13.065,73.890
1.285,-194.935,-194.526,267.098,89.023,-70.662,-20.340,-123.146,-178.429,31.824,136.422
1.290,-183.538,-121.629,285.203,93.565,-199.272,18.769,-122.403,-139.750,29.087,144.188
1.295,-123.877,-79.546,281.919,54.309,-220.047,42.039,-121.185,-200.223,35.208,137.247
1.300,-200.157,-170.138,194.663,35.711,-267.557,45.906,-119.981,-213.371,29.144,167.718
1.305,-310.544,-247.419,236.493,-17.935,-308.689,23.686,-118.355,-181.268,21.816,195.595
1.310,-284.943,-279.852,395.177,-54.934,-253.281,-64.508,-117.510,-190.903,65.533,194.362
1.315,-320.690,-378.745,469.198,-118.178,-234.577,-91.925,-116.020,-168.759,49.041,221.106
1.320,-347.908,-440.119,461.459,-57.580,-233.125,-91.645,-114.908,-162.924,49.072,250.330
1.325,-397.481,-395.469,395.578,26.452,-187.397,-93.685,-114.316,-169.169,54.592,273.790
1.330,-429.180,-321.853,364.073,40.447,-98.875,-36.516,-112.555,-203.839,37.293,278.408
1.335,-375.193,-296.799,439.982,3.257,-47.526,-37.378,-112.063,-158.009,59.848,273.750
1.340,-353.281,-286.331,435.364,-44.693,-63.794,-67.301,-109.884,-135.117,90.000,297.560
1.345,-359.763,-274.355,378.248,-39.811,-99.242,-20.086,-109.435,-156.017,68.226,290.463
1.350,-331.789,-289.624,290.744,-49.310,-231.588,5.884,-106.726,-199.566,59.974,273.115
1.355,-349.742,-302.638,198.540,-14.546,-268.613,-38.651,-105.299,-158.749,56.600,262.957
1.360,-300.689,-284.820,200.282,5.414,-230.869,-81.389,-102.082,-117.279,42.364,231.322
1.365,-175.327,-211.503,218.103,-8.404,-221.203,-72.922,-101.399,-136.391,52.302,216.198
1.370,-172.784,-215.088,151.838,-50.533,-178.067,-75.963,-100.227,-171.676,27.966,158.260
